web_scraper_order,web_scraper_start_url,nom,prix,adresse,conteneur,image_lien
"1772320494-385","https://sn.coinafrique.com/categorie/moutons?page=6","Mouton femelle Ladoum","600 000 CFA","Dakar, Sénégal","https://sn.coinafrique.com/annonce/moutons/mouton-femelle-ladoum-3571469","https://images.coinafrique.com/thumb_3571469_uploaded_image1_1645100060.jpg"
"1772320496-472","https://sn.coinafrique.com/categorie/moutons?page=4","Brebis","125 000 CFA","Guediawaye, Dakar, Sénégal","https://sn.coinafrique.com/annonce/moutons/brebis-4043309",""
"1772320497-386","https://sn.coinafrique.com/categorie/moutons?page=6","Femelles ladoum pur sang","Prix sur demande","Dakar Plateau, Dakar, Sénégal","https://sn.coinafrique.com/annonce/moutons/femelles-ladoum-pur-sang-3584679","https://images.coinafrique.com/thumb_3584679_uploaded_image1_1645966157.jpg"
"1772320498-473","https://sn.coinafrique.com/categorie/moutons?page=4","Mouton ladoum","Prix sur demande","Keur Massar, Sénégal","https://sn.coinafrique.com/annonce/moutons/mouton-ladoum-4045097",""
"1772320499-387","https://sn.coinafrique.com/categorie/moutons?page=6","Femelle Ladoum","Prix sur demande","Keur Massar, Sénégal","https://sn.coinafrique.com/annonce/moutons/femelle-ladoum-3585311","https://images.coinafrique.com/thumb_5200965_uploaded_image1_1740410729.jpg"
"1772320501-388","https://sn.coinafrique.com/categorie/moutons?page=6","Mouton mâle","Prix sur demande","Keur Massar, Sénégal","https://sn.coinafrique.com/annonce/moutons/mouton-male-3586498","https://images.coinafrique.com/thumb_5321660_uploaded_image1_1746897337.jpg"
"1772320503-474","https://sn.coinafrique.com/categorie/moutons?page=3","Mouton","90 000 CFA","Guediawaye, Dakar, Sénégal","https://sn.coinafrique.com/annonce/moutons/mouton-4045236",""
"1772320504-389","https://sn.coinafrique.com/categorie/moutons?page=6","Mouton Ladoum","600 000 CFA","Dakar, Sénégal","https://sn.coinafrique.com/annonce/moutons/mouton-ladoum-3587538","https://images.coinafrique.com/thumb_4773721_uploaded_image1_1717238496.jpg"
"1772320505-475","https://sn.coinafrique.com/categorie/moutons?page=3","Mouton Ladoum","300 000 CFA","Diourbel, Sénégal","https://sn.coinafrique.com/annonce/moutons/mouton-ladoum-4055594",""
"1772320506-390","https://sn.coinafrique.com/categorie/moutons?page=6","Mouton mâle","850 000 CFA","Dakar, Sénégal","https://sn.coinafrique.com/annonce/moutons/mouton-male-3596103","https://images.coinafrique.com/thumb_1428014_uploaded_image1_1578171800.77.png"
"1772320508-476","https://sn.coinafrique.com/categorie/moutons?page=3","Mouton ladoum","300 000 CFA","Diourbel, Sénégal","https://sn.coinafrique.com/annonce/moutons/mouton-ladoum-4055616",""
"1772320509-391","https://sn.coinafrique.com/categorie/moutons?page=6","Mouton Ladoum","250 CFA","Cambérène, Dakar, Sénégal","https://sn.coinafrique.com/annonce/moutons/mouton-ladoum-3603572","https://images.coinafrique.com/thumb_4061084_uploaded_image1_1674422780.jpg"
"1772320510-477","https://sn.coinafrique.com/categorie/moutons?page=3","Mouton  agnelle","350 000 CFA","Dakar, Sénégal","https://sn.coinafrique.com/annonce/moutons/mouton-agnelle-4060011",""
"1772320511-392","https://sn.coinafrique.com/categorie/moutons?page=6","Moutons","110 000 CFA","Pikine, Sénégal","https://sn.coinafrique.com/annonce/moutons/moutons-3607678","https://images.coinafrique.com/thumb_5561288_uploaded_image1_1759765735.jpg"
"1772320512-478","https://sn.coinafrique.com/categorie/moutons?page=3","Mouton femelle Ladoum","Prix sur demande","Cambérène, Dakar, Sénégal","https://sn.coinafrique.com/annonce/moutons/mouton-femelle-ladoum-4061067",""
"1772320514-393","https://sn.coinafrique.com/categorie/moutons?page=6","Agnelle","Prix sur demande","Touba, Sénégal","https://sn.coinafrique.com/annonce/moutons/agnelle-3609506","https://images.coinafrique.com/thumb_3609506_uploaded_image1_1647347025.jpg"
"1772320515-479","https://sn.coinafrique.com/categorie/moutons?page=3","Mouton ladoum","Prix sur demande","Cambérène, Dakar, Sénégal","https://sn.coinafrique.com/annonce/moutons/mouton-ladoum-4061084",""
"1772320516-394","https://sn.coinafrique.com/categorie/moutons?page=6","Mouton Ladoum","500 000 CFA","Rufisque, Sénégal","https://sn.coinafrique.com/annonce/moutons/mouton-ladoum-3609797","https://images.coinafrique.com/thumb_5521645_uploaded_image1_1757668518.jpg"
"1772320517-480","https://sn.coinafrique.com/categorie/moutons?page=3","Moutons","130 000 CFA","Pikine, Sénégal","https://sn.coinafrique.com/annonce/moutons/moutons-4067794",""
"1772320518-395","https://sn.coinafrique.com/categorie/moutons?page=6","Mouton","Prix sur demande","Dakar Plateau, Dakar, Sénégal","https://sn.coinafrique.com/annonce/moutons/mouton-3611614","https://images.coinafrique.com/thumb_5344681_uploaded_image1_1748183751.jpg"
"1772320519-481","https://sn.coinafrique.com/categorie/moutons?page=3","Moutons","120 000 CFA","Pikine, Sénégal","https://sn.coinafrique.com/annonce/moutons/moutons-4069918",""
"1772320521-396","https://sn.coinafrique.com/categorie/moutons?page=6","Femelle Ladoum","700 000 CFA","Guédiawaye, Dakar, Sénégal","https://sn.coinafrique.com/annonce/moutons/femelle-ladoum-3612042","https://images.coinafrique.com/thumb_3773634_uploaded_image1_1657045364.jpg"
"1772320522-482","https://sn.coinafrique.com/categorie/moutons?page=3","Moutons","150 000 CFA","Parcelle Assainies, Dakar, Sénégal","https://sn.coinafrique.com/annonce/moutons/moutons-4100015",""
