web_scraper_order,web_scraper_start_url,nom,prix,adresse,image_lien,conteneur
"1772320079-64","https://sn.coinafrique.com/categorie/chiens?page=5","Chiot Bichon","150 000 CFA","Dieuppeul-Derklé, Dakar, Sénégal","https://images.coinafrique.com/thumb_5613212_uploaded_image1_1762713775.jpg","https://sn.coinafrique.com/annonce/chiens/chiot-bichon-4268527"
"1772320081-65","https://sn.coinafrique.com/categorie/chiens?page=5","Chiots Berger Allemand","260 000 CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_5563010_uploaded_image1_1759844917.jpg","https://sn.coinafrique.com/annonce/chiens/chiots-berger-allemand-4277563"
"1772320084-66","https://sn.coinafrique.com/categorie/chiens?page=5","Chiots Bichons","150 000 CFA","Dieuppeul-Derklé, Dakar, Sénégal","https://images.coinafrique.com/thumb_5613212_uploaded_image1_1762713775.jpg","https://sn.coinafrique.com/annonce/chiens/chiots-bichons-4277694"
"1772320086-67","https://sn.coinafrique.com/categorie/chiens?page=5","Chiot croisé Husky / Berger Allemand","180 000 CFA","Parcelle Assainies, Dakar, Sénégal","https://images.coinafrique.com/thumb_4280738_uploaded_image2_1688487016.jpeg","https://sn.coinafrique.com/annonce/chiens/chiot-croise-husky-berger-allemand-4280738"
"1772320088-68","https://sn.coinafrique.com/categorie/chiens?page=5","Chiots Cane Corso","350 000 CFA","Almadies, Dakar, Sénégal","https://images.coinafrique.com/thumb_4295604_uploaded_image1_1689430034.jpg","https://sn.coinafrique.com/annonce/chiens/chiots-cane-corso-4283254"
"1772320091-69","https://sn.coinafrique.com/categorie/chiens?page=5","Chiots Husky's","250 000 CFA","Cambérène, Dakar, Sénégal","https://images.coinafrique.com/thumb_4023358_uploaded_image1_1672057592.jpg","https://sn.coinafrique.com/annonce/chiens/chiots-huskys-4284697"
"1772320093-70","https://sn.coinafrique.com/categorie/chiens?page=5","Chiots Labradors","650 000 CFA","Almadies, Dakar, Sénégal","https://images.coinafrique.com/thumb_4287921_uploaded_image1_1688944788.jpg","https://sn.coinafrique.com/annonce/chiens/chiots-labradors-4287921"
"1772320096-71","https://sn.coinafrique.com/categorie/chiens?page=5","Chiens Malinois","250 000 CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_5124976_uploaded_image1_1736338081.jpg","https://sn.coinafrique.com/annonce/chiens/chiens-malinois-4290173"
"1772320108-72","https://sn.coinafrique.com/categorie/chiens?page=5","Chiots  Akita japonaise","850 000 CFA","Fann, Dakar, Sénégal","https://images.coinafrique.com/thumb_4294289_uploaded_image1_1689338730.jpg","https://sn.coinafrique.com/annonce/chiens/chiots-akita-japonaise-4294289"
"1772320114-73","https://sn.coinafrique.com/categorie/chiens?page=5","Chiots Cane Corso","350 000 CFA","Almadies, Dakar, Sénégal","https://images.coinafrique.com/thumb_4295604_uploaded_image1_1689430034.jpg","https://sn.coinafrique.com/annonce/chiens/chiots-cane-corso-4295604"
